Gm,Date,Tm,H_A,Opp,Result,R,RA,Inn,Record,Rank,GB,Win,Loss,Save,Time,D.N,Attendance,cLI,Streak,Orig_Scheduled,Year
76,"Tuesday, Jun 28",NYM,H,PHI,W,8,3,,38-38,5,7.0,Zambrano,Tejeda,,3:09,N,39898,0.87,1,,2005
77,"Wednesday, Jun 29",NYM,H,PHI,L,3,6,,38-39,5,8.0,Lidle,Ishii,Wagner,2:50,N,24915,0.94,-1,,2005
78,"Thursday, Jun 30",NYM,H,PHI,W,5,3,,39-39,5,8.0,Martinez,Lieber,Looper,2:45,D,36667,0.85,1,,2005
79,"Friday, Jul 1",NYM,H,FLA,W,7,6,,40-39,4,8.0,Hernandez,Mecir,Looper,3:11,N,44853,0.94,2,,2005
80,"Saturday, Jul 2",NYM,H,FLA,L,3,7,,40-40,5,9.0,Moehler,Benson,,2:59,D,41290,1.01,-1,,2005
81,"Sunday, Jul 3",NYM,H,FLA,L,0,3,,40-41,5,10.0,Willis,Zambrano,,2:20,D,37824,0.95,-2,,2005
82,"Monday, Jul 4",NYM,A,WSN,W,5,2,,41-41,5,9.0,Hernandez,Kim,Looper,3:37,D,44331,0.78,1,,2005
83,"Tuesday, Jul 5",NYM,A,WSN,L,2,3,,41-42,5,10.0,Loaiza,Martinez,Cordero,2:24,N,35087,0.91,-1,,2005
84,"Wednesday, Jul 6",NYM,A,WSN,W,5,3,,42-42,5,9.0,Glavine,Hernández,Looper,2:55,N,38148,0.76,1,,2005
85,"Thursday, Jul 7",NYM,A,WSN,W,3,2,11,43-42,4,8.0,Bell,Ayala,Looper,3:22,D,44492,0.88,2,,2005
86,"Friday, Jul 8",NYM,A,PIT,L-wo,5,6,10,43-43,4,9.0,Mesa,Looper,,2:54,N,32563,0.84,-1,,2005
87,"Saturday, Jul 9",NYM,A,PIT,L,4,11,,43-44,5,9.0,Williams,Ishii,,2:48,N,36708,0.73,-2,,2005
88,"Sunday, Jul 10",NYM,A,PIT,W,6,1,,44-44,5,8.0,Martinez,Wells,,2:36,D,26551,0.71,1,,2005
89,"Thursday, Jul 14",NYM,H,ATL,W,6,3,,45-44,4,7.0,Hernandez,Brower,Looper,2:34,N,43319,1.01,2,,2005
90,"Friday, Jul 15",NYM,H,ATL,L,1,2,,45-45,5,7.0,Smoltz,Hernandez,Reitsma,2:37,N,34444,1.14,-1,,2005
